sentence,label
Какао подали горячим с мягкой пенкой.,2
Компьютерная мышь точно реагирует на движения руки.,0
Администратор настроил защиту аккаунтов с помощью двухфакторной проверки.,0
Алгоритм сжатия уменьшил размер видеофайла без сильной потери качества.,0
Компания представила процессор с низким энергопотреблением.,0
Система рекомендаций предлагает фильмы на основе прошлых просмотров.,0
Футбольная команда уверенно выиграла домашний матч.,1
Для салата нарезали огурцы помидоры и сыр.,2
Тренер объяснил игрокам новую тактическую схему.,1
Приложение автоматически синхронизирует заметки между устройствами.,0
Бегун улучшил личный результат на дистанции пять километров.,1
Мессенджер получил функцию редактирования отправленных сообщений.,0
Котлеты получились сочными благодаря правильной обжарке.,2
Обновление операционной системы исправило ошибки безопасности.,0
Матч получился зрелищным и богатым на опасные моменты.,1
Шеф-повар украсил десерт свежей мятой.,2
Судейская бригада проверила спорный эпизод с помощью видеоповтора.,1
Овощной рагу подходит для легкого обеда.,2
Огурцы нарезали тонкими кружками для закуски.,2
Команда вышла в финал городского турнира.,1
Тренер провел разбор ошибок после поражения.,1
Куриный суп подойдет для сытного обеда.,2
Антивирус обнаружил подозрительный файл на компьютере.,0
Футбольный клуб объявил состав на ближайшую игру.,1
Рецепт блинов требует молока яиц и немного муки.,2
Свежий хлеб приятно пахнет после выпечки.,2
Рецепт соуса легко повторить дома.,2
Легкоатлетка получила медаль на региональном чемпионате.,1
Мясо тушилось на медленном огне почти час.,2
Суп подали горячим в глубокой тарелке.,2
Клавиатура с подсветкой удобна для работы вечером.,0
Файл проекта сохранили в системе контроля версий.,0
Мороженое подали с ягодным соусом.,2
Соперники играли осторожно и редко создавали моменты.,1
Интернет-магазин добавил оплату с помощью банковской карты.,0
Болельщики купили билеты на финальную встречу.,1
Судья добавил три минуты к основному времени матча.,1
Матч перенесли из-за сильного дождя.,1
Сыр расплавился на горячем бутерброде.,2
Новый ноутбук быстро запускает программы и долго работает от батареи.,0
Команда получила кубок за победу в турнире.,1
Робот-пылесос строит карту комнаты и убирает по расписанию.,0
Салат заправили оливковым маслом и лимонным соком.,2
Каша стала вкуснее после добавления ягод и меда.,2
Вратарь получил приз лучшего игрока матча.,1
Вратарь отразил сложный удар в конце игры.,1
Макароны сварили до мягкого состояния.,2
Боксёр уверенно провел все раунды поединка.,1
Прототип устройства прошел первые лабораторные испытания.,0
На ужин подали рыбу с лимоном и картофелем.,2
Пользователь восстановил пароль через электронную почту.,0
Капитан команды забил победный гол.,1
Пирог получился мягким и ароматным после запекания.,2
Футболисты отрабатывали передачи и удары по воротам.,1
Спортивная школа открыла набор в секцию плавания.,1
Рыбу посолили и запекли с травами.,2
Грибы обжарили с луком до золотистого цвета.,2
Разработчик написал приложение для учета личных расходов.,0
В тесто добавили ваниль и немного сахара.,2
Роутер стабильно раздает интернет во всей квартире.,0
Куриное филе замариновали с чесноком и специями.,2
Разработчик подключил библиотеку для обработки изображений.,0
Гимнастка успешно выполнила сложный элемент на брусьях.,1
Турнир собрал сильнейших игроков региона.,1
Клуб представил новую спортивную форму для сезона.,1
Крем для торта взбили до воздушной текстуры.,2
Сервис видеосвязи поддерживает демонстрацию экрана.,0
Свежие булочки достали из духовки утром.,2
Торт пропитали кремом и поставили в холодильник.,2
Паста хорошо сочетается с томатным соусом.,2
Виртуальная реальность используется для обучения будущих инженеров.,0
Инженеры тестируют новую систему распознавания речи.,0
Спортсмены соблюдают режим сна перед важным стартом.,1
Лимонад приготовили из лимона сахара и холодной воды.,2
Спортсмен готовится к соревнованиям каждый день.,1
Шахматист выиграл партию после точной комбинации.,1
Форвард сделал результативную передачу партнеру.,1
Велосипедист преодолел сложный горный участок трассы.,1
Смарт-колонка включает музыку и отвечает на голосовые команды.,0
Блины переворачивали широкой лопаткой.,2
Овощи обжарили на сковороде до мягкости.,2
Нейросеть улучшает качество старых фотографий.,0
Печенье выпекали до легкого румяного оттенка.,2
Видеокарта повысила производительность компьютера в играх.,0
Повар приготовил суп из свежих овощей и зелени.,2
Кухня наполнилась запахом жареного лука.,2
Ноутбук подключили к внешнему монитору через современный порт.,0
Тренировочный сбор пройдет на базе за городом.,1
Гарнир из овощей сделали на пару.,2
Клубничный джем намазали на тосты.,2
Фрукты нарезали небольшими кусочками для десерта.,2
Легкоатлет уверенно стартовал и сохранил темп до финиша.,1
Игрок забросил шайбу после быстрой контратаки.,1
Пиццу посыпали сыром и отправили в духовку.,2
Яблочный компот остудили перед подачей.,2
Тренерский штаб подготовил план восстановления после игры.,1
Сырники подали со сметаной и вареньем.,2
Волейболисты выиграли сет с минимальным преимуществом.,1
Пловец выиграл заплыв благодаря сильному финишу.,1
База данных хранит информацию о заказах и клиентах.,0
Пирожки наполнили яблоками и корицей.,2
Команда проиграла первый тайм но смогла сравнять счет.,1
Программист исправил ошибку в мобильном приложении.,0
Тренер похвалил команду за дисциплину и характер.,1
Рис промыли и сварили в подсоленной воде.,2
Баскетбольный клуб подписал молодого защитника.,1
Пользователь установил обновленный драйвер для принтера.,0
Команда начала сезон с уверенной победы.,1
Картофельное пюре получилось нежным и сливочным.,2
Сканер документов распознает текст и сохраняет его в формате PDF.,0
Сетевое оборудование перенесли в отдельный серверный шкаф.,0
Кофе получился крепким и бодрящим.,2
Разработчик написал тесты для проверки новой функции.,0
Матч закончился ничьей после напряженной борьбы.,1
Игрок получил желтую карточку за грубый фол.,1
Мобильная сеть пятого поколения обеспечивает высокую скорость загрузки.,0
Шоколад растопили на водяной бане.,2
Графический редактор получил инструмент автоматического удаления фона.,0
Умные часы измеряют пульс и показывают уведомления.,0
Фехтовальщик набрал решающее очко в финальном бою.,1
Домашний хлеб поднялся и покрылся золотистой корочкой.,2
Гонщик первым прошел опасный поворот трассы.,1
Сервер обрабатывает запросы пользователей без заметных задержек.,0
Электронная книга вмещает тысячи страниц и не утомляет глаза.,0
Команда активно прессинговала соперника на его половине поля.,1
Система навигации построила самый быстрый маршрут до офиса.,0
Лыжник быстрее соперников прошел последний спуск.,1
Повара подготовили меню для семейного праздника.,2
Планшет подходит для чтения документов и просмотра лекций.,0
Программа строит диаграммы по данным из таблицы.,0
Хоккейный матч завершился серией буллитов.,1
Тренировка началась с разминки и упражнений на растяжку.,1
Сайт получил удобный интерфейс и быструю форму поиска.,0
Игрок восстановился после травмы и вернулся к тренировкам.,1
Флешка быстро копирует большие архивы с фотографиями.,0
Прыгун в высоту взял планку с первой попытки.,1
Новая версия браузера стала быстрее открывать сложные сайты.,0
Хоккеисты провели интенсивную тренировку на льду.,1
Марафонец пересек финишную линию под аплодисменты зрителей.,1
Спортсменка установила новый рекорд школы.,1
Разработчики добавили темную тему в программу.,0
Сборная провела товарищеский матч перед чемпионатом.,1
Сэндвич собрали из хлеба сыра и свежего салата.,2
Пельмени варили в кипящей воде несколько минут.,2
Спортивный врач осмотрел игрока после столкновения.,1
Гречку подали с грибной подливой.,2
Разработчики проверили приложение на разных версиях Android.,0
Овсянка с бананом стала полезным завтраком.,2
Фигурист красиво исполнил произвольную программу.,1
Тесто оставили на двадцать минут перед выпечкой.,2
Сервис автоматически переводит текст на несколько языков.,0
Смартфон получил яркий экран и хорошую камеру для вечерних снимков.,0
Теннисист подал навылет в важный момент встречи.,1
Кулинарный блог опубликовал простой рецепт ужина.,2
Стадион был заполнен зрителями почти полностью.,1
Разработчики выпустили патч для устранения критической уязвимости.,0
Комментатор отметил хорошую физическую форму игроков.,1
Морковный салат заправили сметаной.,2
Устройство умного дома выключает свет по датчику движения.,0
Омлет приготовили на завтрак с сыром и зеленью.,2
Фарш смешали с луком и специями.,2
В борщ добавили свеклу капусту и картофель.,2
В кастрюле медленно варится густой мясной бульон.,2
Компьютерная программа анализирует статистику посещения сайта.,0
Парольный менеджер хранит учетные записи в зашифрованном виде.,0
Монитор с высоким разрешением удобен для монтажа видео.,0
Искусственный интеллект помогает быстро анализировать большие тексты.,0
Наушники подключаются по Bluetooth и хорошо подавляют шум.,0
Юный спортсмен победил на областных соревнованиях.,1
Соус сделали из йогурта чеснока и укропа.,2
Облачный сервис позволяет работать над проектом из дома.,0
Горячий чай хорошо подходит к домашнему печенью.,2
Код программы стал понятнее после рефакторинга.,0
Камера видеонаблюдения сохраняет записи в облако.,0
Лазерный принтер быстро печатает учебные материалы.,0
Баскетболист набрал много очков в решающей четверти.,1
Болельщики громко поддерживали спортсменов на стадионе.,1
Пользователь настроил облачное хранилище для резервных копий.,0
Дрон снимает видео с высоты и передает изображение на телефон.,0
Запеканка хорошо держит форму после охлаждения.,2
